Lep Name,Lep Url
Polyhymno,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Polyhymno_luteostrigella_%E2%80%93_Polyhymno_Moth_%2814459340241%29.jpg/351px-Polyhymno_luteostrigella_%E2%80%93_Polyhymno_Moth_%2814459340241%29.jpg
Polyhymno acaciella,None
Polyhymno alcimacha,None
Pseudotelphusa belangerella,None
Psoricoptera triorthias,None
Ptocheuusa inopella,https://upload.wikimedia.org/wikipedia/commons/a/ad/Ptocheuusa_inopella.JPG
Ptocheuusa paupella,None
Ptycerata sp.,None
Recurvaria,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Recurvaria_nanella.JPG/269px-Recurvaria_nanella.JPG
Recurvaria eromene,None
Recurvaria glinax,None
Recurvaria leucatella,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Recurvaria_leucatella.jpg/240px-Recurvaria_leucatella.jpg
Recurvaria nanella,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Recurvaria_nanella.JPG/269px-Recurvaria_nanella.JPG
Recurvaria ochrospila,None
Schistonoea fulvidella,None
Schneidereria pistaciella,None
Scodes deflecta,None
Scrobipalpa atriplicella,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/%280818%29_Scrobipalpa_atriplicella_%2829000004544%29.jpg/216px-%280818%29_Scrobipalpa_atriplicella_%2829000004544%29.jpg
Scrobipalpa brahmiella,None
Scrobipalpa disjectella,None
Scrobipalpa gecko,None
Scrobipalpa halonella,None
Scrobipalpa halymella,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Scrobipalpa_halymella.jpg/270px-Scrobipalpa_halymella.jpg
Scrobipalpa hyoscyamella,None
Scrobipalpa incola,None
Scrobipalpa instabilella,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Scrobipalpa_instabilella.gif/270px-Scrobipalpa_instabilella.gif
Scrobipalpa lyciella,None
Scrobipalpa marina,None
Scrobipalpa mongoloides,None
Scrobipalpa monochromella,None
Scrobipalpa montanella,None
Scrobipalpa omachella,None
Scrobipalpa plantaginella,None
Scrobipalpa suaedivorella,None
Scrobipalpa suasella,None
Scrobipalpopsis petasitis,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Scrobipalpopsis_petasitis.jpg/299px-Scrobipalpopsis_petasitis.jpg
Sinoe robiniella,None
